"filename", "language", "Java Properties", "YAML", "XML", "Batch", "Java", "comment", "blank", "total"
"/Users/jacobmortensen/Repos/Wildlife-Mapper/naturalist/src/main/java/com/pocket/naturalist/entity/UserParkStat.java", "Java", 0, 0, 0, 0, 91, 1, 33, 125
"/Users/jacobmortensen/Repos/Wildlife-Mapper/naturalist/src/main/java/com/pocket/naturalist/repository/AnimalRepository.java", "Java", 0, 0, 0, 0, 6, 0, 7, 13
"/Users/jacobmortensen/Repos/Wildlife-Mapper/naturalist/src/main/java/com/pocket/naturalist/repository/FeatureRepository.java", "Java", 0, 0, 0, 0, 5, 0, 5, 10
"/Users/jacobmortensen/Repos/Wildlife-Mapper/naturalist/src/main/java/com/pocket/naturalist/repository/ParkRepository.java", "Java", 0, 0, 0, 0, 26, 15, 10, 51
"/Users/jacobmortensen/Repos/Wildlife-Mapper/naturalist/src/main/java/com/pocket/naturalist/repository/SightingsRepository.java", "Java", 0, 0, 0, 0, 8, 0, 6, 14
"/Users/jacobmortensen/Repos/Wildlife-Mapper/naturalist/src/main/java/com/pocket/naturalist/repository/UserParkStatRepository.java", "Java", 0, 0, 0, 0, 5, 0, 5, 10
"/Users/jacobmortensen/Repos/Wildlife-Mapper/naturalist/src/main/java/com/pocket/naturalist/repository/UserRepository.java", "Java", 0, 0, 0, 0, 8, 0, 9, 17
"/Users/jacobmortensen/Repos/Wildlife-Mapper/naturalist/src/main/java/com/pocket/naturalist/security/ApplicationConfig.java", "Java", 0, 0, 0, 0, 39, 0, 14, 53
"/Users/jacobmortensen/Repos/Wildlife-Mapper/naturalist/src/main/java/com/pocket/naturalist/security/JwtAuthenticationFilter.java", "Java", 0, 0, 0, 0, 51, 4, 13, 68
"/Users/jacobmortensen/Repos/Wildlife-Mapper/naturalist/src/main/java/com/pocket/naturalist/security/JwtService.java", "Java", 0, 0, 0, 0, 55, 8, 16, 79
"/Users/jacobmortensen/Repos/Wildlife-Mapper/naturalist/src/main/java/com/pocket/naturalist/security/ParkSecurity.java", "Java", 0, 0, 0, 0, 19, 1, 8, 28
"/Users/jacobmortensen/Repos/Wildlife-Mapper/naturalist/src/main/java/com/pocket/naturalist/security/SecurityConfig.java", "Java", 0, 0, 0, 0, 38, 7, 10, 55
"/Users/jacobmortensen/Repos/Wildlife-Mapper/naturalist/src/main/java/com/pocket/naturalist/security/SecurityUser.java", "Java", 0, 0, 0, 0, 28, 0, 10, 38
"/Users/jacobmortensen/Repos/Wildlife-Mapper/naturalist/src/main/java/com/pocket/naturalist/service/AdminService.java", "Java", 0, 0, 0, 0, 5, 0, 4, 9
"/Users/jacobmortensen/Repos/Wildlife-Mapper/naturalist/src/main/java/com/pocket/naturalist/service/GameificationService.java", "Java", 0, 0, 0, 0, 7, 0, 6, 13
"/Users/jacobmortensen/Repos/Wildlife-Mapper/naturalist/src/main/java/com/pocket/naturalist/service/GameificationServiceImpl.java", "Java", 0, 0, 0, 0, 86, 20, 27, 133
"/Users/jacobmortensen/Repos/Wildlife-Mapper/naturalist/src/main/java/com/pocket/naturalist/service/LocationService.java", "Java", 0, 0, 0, 0, 8, 0, 6, 14
"/Users/jacobmortensen/Repos/Wildlife-Mapper/naturalist/src/main/java/com/pocket/naturalist/service/LocationServiceImpl.java", "Java", 0, 0, 0, 0, 16, 0, 13, 29
"/Users/jacobmortensen/Repos/Wildlife-Mapper/naturalist/src/main/java/com/pocket/naturalist/service/LogInService.java", "Java", 0, 0, 0, 0, 5, 0, 4, 9
"/Users/jacobmortensen/Repos/Wildlife-Mapper/naturalist/src/main/java/com/pocket/naturalist/service/ParkService.java", "Java", 0, 0, 0, 0, 9, 0, 8, 17
"/Users/jacobmortensen/Repos/Wildlife-Mapper/naturalist/src/main/java/com/pocket/naturalist/service/ParkServiceImpl.java", "Java", 0, 0, 0, 0, 49, 15, 17, 81
"/Users/jacobmortensen/Repos/Wildlife-Mapper/naturalist/src/main/java/com/pocket/naturalist/service/SightingService.java", "Java", 0, 0, 0, 0, 9, 0, 9, 18
"/Users/jacobmortensen/Repos/Wildlife-Mapper/naturalist/src/main/java/com/pocket/naturalist/service/SightingServiceImpl.java", "Java", 0, 0, 0, 0, 51, 16, 20, 87
"/Users/jacobmortensen/Repos/Wildlife-Mapper/naturalist/src/main/java/com/pocket/naturalist/service/UserService.java", "Java", 0, 0, 0, 0, 12, 0, 7, 19
